iso3,m49,name_en,jica_name,dac_oda_recipient_2024,jica_relation,supervising_offices,jica_country_page
SEN,686,Senegal,Senegal,yes,country_page_and_purview,JICA Senegal Office,https://www.jica.go.jp/english/overseas/senegal/index.html
SLB,090,Solomon Islands,Solomon Islands,yes,country_page_and_purview,JICA Papua New Guinea Office; JICA Solomon Islands Office,https://www.jica.go.jp/english/overseas/solomon/index.html
SLE,694,Sierra Leone,Sierra Leone,yes,country_page_and_purview,JICA Sierra Leone Office,https://www.jica.go.jp/english/overseas/sierraleone/index.html
SLV,222,El Salvador,El Salvador,yes,country_page_and_purview,JICA El Salvador Office,https://www.jica.go.jp/english/overseas/elsalvador/index.html
SOM,706,Somalia,Somalia,yes,country_page_and_purview,JICA Kenya Office,https://www.jica.go.jp/english/overseas/somalia/index.html
SRB,688,Serbia,Serbia,yes,country_page_and_purview,JICA Balkan Office,https://www.jica.go.jp/english/overseas/serbia/index.html
SSD,728,South Sudan,South Sudan,yes,country_page_and_purview,JICA South Sudan Office,https://www.jica.go.jp/english/overseas/south_sudan/index.html
STP,678,Sao Tome and Principe,Sao Tome and Principe,yes,purview_only,JICA Angola Office,
SUR,740,Suriname,Suriname,yes,purview_only,JICA Dominican Republic Office,
SWZ,748,Eswatini,Eswatini,yes,purview_only,JICA South Africa Office,
SYC,690,Seychelles,Seychelles,no,country_page_and_purview,JICA Kenya Office,https://www.jica.go.jp/english/overseas/seychelles/index.html
SYR,760,Syrian Arab Republic,Syria,yes,country_page_and_purview,JICA Syria Office,https://www.jica.go.jp/english/overseas/syria/index.html
TCD,148,Chad,Chad,yes,purview_only,JICA Cameroon Office,
TGO,768,Togo,Togo,yes,purview_only,JICA Côte d'Ivoire Office (JICA EN Côte d'Ivoire),
THA,764,Thailand,Thailand,yes,country_page_and_purview,JICA Thailand Office,https://www.jica.go.jp/english/overseas/thailand/index.html
TJK,762,Tajikistan,Tajikistan,yes,country_page_and_purview,JICA Tajikistan Office,https://www.jica.go.jp/english/overseas/tajikistan/index.html
TLS,626,Timor-Leste,Timor-Leste,yes,country_page_and_purview,JICA Timor-Leste Office,https://www.jica.go.jp/english/overseas/easttimor/index.html
TON,776,Tonga,Tonga,yes,country_page_and_purview,JICA Fiji Office; JICA Tonga Office,https://www.jica.go.jp/english/overseas/tonga/index.html
TTO,780,Trinidad and Tobago,Trinidad and Tobago,no,purview_only,JICA Dominican Republic Office,
TUN,788,Tunisia,Tunisia,yes,country_page_and_purview,JICA Tunisia Office,https://www.jica.go.jp/english/overseas/tunisia/index.html
TUR,792,Türkiye,Turkey,yes,country_page_and_purview,JICA Turkey Office,https://www.jica.go.jp/english/overseas/turkey/index.html
TUV,798,Tuvalu,Tuvalu,yes,purview_only,JICA Fiji Office,
TZA,834,United Republic of Tanzania,Tanzania,yes,country_page_and_purview,JICA Tanzania Office,https://www.jica.go.jp/english/overseas/tanzania/index.html
UGA,800,Uganda,Uganda,yes,country_page_and_purview,JICA Uganda Office,https://www.jica.go.jp/english/overseas/uganda/index.html
UKR,804,Ukraine,Ukraine,yes,country_page_and_purview,JICA Ukraine Office,https://www.jica.go.jp/english/overseas/ukraine/index.html
URY,858,Uruguay,Uruguay,no,country_page_and_purview,JICA Paraguay Office; JICA Uruguay Office,https://www.jica.go.jp/english/overseas/uruguay/index.html
UZB,860,Uzbekistan,Uzbekistan,yes,country_page_and_purview,JICA Uzbekistan Office,https://www.jica.go.jp/english/overseas/uzbekistan/index.html
VCT,670,Saint Vincent and the Grenadines,Saint Vincent,yes,purview_only,JICA Dominican Republic Office,
VEN,862,Venezuela (Bolivarian Republic of),Venezuela,yes,country_page_and_purview,JICA Peru Office; JICA Venezuela Office,https://www.jica.go.jp/english/overseas/venezuela/index.html
VNM,704,Viet Nam,Viet Nam,yes,country_page_and_purview,JICA Viet Nam Office,https://www.jica.go.jp/english/overseas/vietnam/index.html
VUT,548,Vanuatu,Vanuatu,yes,country_page_and_purview,JICA Fiji Office; JICA Vanuatu Office,https://www.jica.go.jp/english/overseas/vanuatu/index.html
WSM,882,Samoa,Samoa,yes,country_page_and_purview,JICA Fiji Office; JICA Samoa Office,https://www.jica.go.jp/english/overseas/samoa/index.html
XKX,,Kosovo,Kosovo,yes,country_page_and_purview,JICA Balkan Office,https://www.jica.go.jp/english/overseas/kosovo/index.html
YEM,887,Yemen,Yemen,yes,country_page_and_purview,JICA Egypt Office; JICA/JOCV Yemen Office,https://www.jica.go.jp/english/overseas/yemen/index.html
ZAF,710,South Africa,South Africa,yes,country_page_and_purview,JICA South Africa Office,https://www.jica.go.jp/english/overseas/southafrica/index.html
ZMB,894,Zambia,Zambia,yes,country_page_and_purview,JICA Zambia Office,https://www.jica.go.jp/english/overseas/zambia/index.html
ZWE,716,Zimbabwe,Zimbabwe,yes,country_page_and_purview,JICA South Africa Office; JICA Zimbabwe Office,https://www.jica.go.jp/english/overseas/zimbabwe/index.html
